created_at,text
Sat Aug 15 00:52:54 +0000 2020,"Do you think the reason jews picked #KamalaHarrisForVP is to scare right wingers who have become disillusioned with the system after 4 years of #TrumpIsACompleteFailure to go ahead &amp; vote for him anyways?

I  mean, I kinda think so.

#Biden #Trump2020Landslide #BidenHarris2020"
Sat Aug 15 00:52:54 +0000 2020,"@jsolomonReports Including:

Comrade Barry Obama
QuidProJoe Biden
Hillary Clinton
John Kerry
Susan Rice
Loretta Lynch
Sally Yates
Rod Rosenstein
James Comey
Chris Wray
Andrew McCabe
Peter Strzok
Lisa Page
Joseph Mifsud
Jon Moffa
Bill Preistap
James Baker
James Clapper
John Brennan
Robert Mueller"
Sat Aug 15 00:52:54 +0000 2020,"@Destiny3650 The American court system is corrupt + has been ultra politicized. No one’s above the law is what Democrats say. They mean the law ONLY applies to Trump supporters. Laws do not apply to BLM, ANTIFA, BAMN,rioters for left wing causes,Obama,Biden,Hillary +the entire OBAMA cabinet."
Sat Aug 15 00:52:53 +0000 2020,Dignity restoration is coming soon! https:// #JoeandJill https://t.co/rf5xpilwLE
Sat Aug 15 00:52:53 +0000 2020,@dj0729 @brettirwin15 Elections have consequences. It's fine to highlight this. Vote for Biden.
Sat Aug 15 00:52:53 +0000 2020,"Las Vegas local news poll shows Trump leading Biden 87% to 13%

Any questions?! https://t.co/jWM0Ej9Ksj"
Sat Aug 15 00:52:52 +0000 2020,"@johnx5555 @SteveGuest @LindaSuhler @realDonaldTrump @PressSec You're right, Biden is an empty suit, but he's not radical or left... he's a Reagan-era conservative. Neither Trump nor Biden care about Americans, they're both elites."
Sat Aug 15 00:52:52 +0000 2020,"@KevinStFort @HumanistReport @VaushV Even if Vaush has some good ir great points, calling Biden-Harris the most Progressive Democratic ticket in history is yikes 😬 More Progressive than FDR, Truman, JFK, LBJ?"
Sat Aug 15 00:52:51 +0000 2020,"@KamalaHarris @JoeBiden Wait, so we expect Joe Biden to expand the very system he has spent decades fighting to extinguish? #BlueMAGA"
Sat Aug 15 00:52:50 +0000 2020,"NYC police union endorses Trump, who claims Biden would 'gut every single police department in America'

https://t.co/uUyjsH4bVp"
Sat Aug 15 00:52:50 +0000 2020,all the left leaning major media outlets in the US already calling Biden and Harris the next (Vice) President as if it’s already decided or summ.
Sat Aug 15 00:52:50 +0000 2020,"A #President who is actively attempting to suppress #Americans right to vote, has no place on Mount Rushmore.   #RememberInNovember #TrumpKillsUSPS  #USPS  #mountrushmore #Biden #BidenHarris #BidenHarris2020ToSaveAmerica https://t.co/lMLTkIBUO0"
Sat Aug 15 00:52:50 +0000 2020,"@AOC It’s just you... you obviously wouldn’t be saying a thing about it, if they endorsed Biden."
Sat Aug 15 00:52:50 +0000 2020,"@Greg_a_1 @wm_hammons @davidhogg111 At the same time, to the extent any punishment was meted out, it went against banks who paid it with stock meaning that the individuals who committed the fraud walked away and shareholders paid. Biden, and more importantly many of his advisors were there. They enabled that."
Sat Aug 15 00:52:49 +0000 2020,@guypbenson This will backfire on Biden and his February 2021 replacement if we keep it pointing out
Sat Aug 15 00:52:49 +0000 2020,"@MollyJongFast I was actually thinking of Chris Wallace. Who also probably doesn't wish Biden well, but will be much more subtle about it."
Sat Aug 15 00:52:49 +0000 2020,"DONALD TRUMP IS NOT 
QUALIFIED  TO BE A 
HUMAN BEING !
NEVER MIND BEING 
THE OCCUPANT OF 
THE WHITE HOUSE !

DONALD TRUMP ,
WHAT A DOPE ! 

@realDonaldTrump 

JOE BIDEN  ! 
NOVEMBER 3RD 2020
I COULD WALK TO THE POLLS 
BUT I'M VOTING BY MAIL ! 
JUST BECAUSE, 
I CAN ! https://t.co/b5vPbsinsy"
Sat Aug 15 00:52:48 +0000 2020,"@Daytobehappy If Biden wins, it won't be a miracle, it'll be the biggest cheat ever pulled off."
Sat Aug 15 00:52:48 +0000 2020,"@___nix_11___ 😂 I honestly wouldn't bet on Biden losing, (and I wasn't surprised that Trump won the first time)."
Sat Aug 15 00:52:48 +0000 2020,"@LindseyGrahamSC Could you stand with us?
Could you denounce what is happening with USPS?

Are you planning to allow them to smear Joe Biden?

Are you??"
Sat Aug 15 00:52:47 +0000 2020,"Wallace thought he’d def have a chance to interview Biden after shilling for his fake campaign for months....nope, no press, no questions. A big FU to their most diehard supporters, MSM. https://t.co/tXGYSIH0uL"
Sat Aug 15 00:52:47 +0000 2020,"@dean_hegney @PrestonBenoir @Captainslushy @James_Godd @dirtguy1965 @ProjectLincoln Trump used to be a democrat, which proves that people's views can and do change over time as has Bidens. No way is Biden a racist, he worked under Obama  and now also chose Kamala as his VP. https://t.co/TC7U76h5mA"
Sat Aug 15 00:52:46 +0000 2020,"@cfx82073592 @realDonaldTrump Did I hear "" Hunter""..Joe's soon still 
MIA..need to bring Biden crime family into spotlight..Bro James..built Iraqi homes..never built homes..of course Hunter..investigations into the family is overdue!"
Sat Aug 15 00:52:46 +0000 2020,"In short, a reputable vaccine will have data backing it up, and while Trump or Biden may push that vaccine, there should be data and scientific analysis of said vaccine.

If that data and analysis exist for a vaccine that passes phase III, I’m on board."
