created_at,text
Fri Aug 14 22:47:45 +0000 2020,"@NBCNightlyNews @LesterHoltNBC You just LIED about MAGA YOUR PRESIDENT Donald J. Trump!

What no story on CANNON HINNANTS?  A 5 year old BRUTALLY BEATEN TO DEATH BY A BLACK MAN!!!!

Shame on you fvcking RACISTS!!!"
Fri Aug 14 22:47:45 +0000 2020,@MegaRacismHater @realDonaldTrump @NatlParkService 9/11 happened an absurd eight times under Obama. EIGHT! There have only been THREE 9/11's under Trump! MAGA!!!1!
Fri Aug 14 22:47:44 +0000 2020,"TRUMPS ARE REAGANS AND WILL!! FULFILL THE REAGAN PRESIDENCY! GOD WILL SEE TO IT  in JESUS NAME! REPENT YOU TRUMP HATERS ! THIS IS GODS COUNTRY! NOT YOURS! THIS IS BIGGER THAN YOU HAVE ANY IDEA! JESUS WILL BE  LORD OVER THIS   COUNTRY!!!!
 In JESUS NAME!!!"
Fri Aug 14 22:47:44 +0000 2020,@pocatello82 @nypost Both of those things are true about trump though...
Fri Aug 14 22:47:44 +0000 2020,@GolfDigest Lol there’s more chance of catching it in the good old USA thanks to trump and his dumb supporters.
Fri Aug 14 22:47:44 +0000 2020,@DamageIncUSMC @JoeBiden Bit rich when Trump can’t even walk properly some days. Blames steep ramps and leather shoes 😂Or string a coherent sentence together. Or remember the dates of world wars. Or stop lying. 🤡
Fri Aug 14 22:47:44 +0000 2020,Obama se basa en López para describir al Trump 😂🤣 https://t.co/n8kFxeieM4
Fri Aug 14 22:47:44 +0000 2020,"@LVCabChronicles @kurtbardella @DoubleDownNow7 @realDonaldTrump @Morning_Joe There is none. Because Trump is never wrong and never loses, he’s building in a scapegoat for when he does."
Fri Aug 14 22:47:44 +0000 2020,@brianschatz Since Trump has interfered with the election again by way of USPS and mail in ballots everyone should drop off their mail in ballot at a polling place on election day so you are guaranteed your vote counts and you still don't have to risk your health!
Fri Aug 14 22:47:44 +0000 2020,"@democraticbear As soon as Barr told Trump that DOJ would not prosecute any criminal acts by Wolf, DeJoy, DeVos, Kushner, Tata, et al and Trump then promised to blanket pardon all his crony criminals before leaving the Presidency, the Republic was in mortal peril.

Only Pelosi can stop it."
Fri Aug 14 22:47:44 +0000 2020,"Court Rules Trump Admin Can Withhold Federal Grants From Sanctuary Cities
2020 Feb 26

#QUOTE [I]nvolved 7 states NY, CT, NJ, WA, MA, VA and RI

LNK https://t.co/IEZ9e4oZ6D

Thanks @eavesdropann

#sanctuaryCity #sanctuaryCities
#quikTake qt-sanc-cites-038 by #borderObserver"
Fri Aug 14 22:47:43 +0000 2020,"“[Trump's senior adviser on Latin America] cited strong private sector interest in the ‘Back to the Americas’ program, which will offer as yet undefined financial incentives to US companies to move production facilities back to the region from Asia.” #CTPA https://t.co/3lk4l4onuu"
Fri Aug 14 22:47:43 +0000 2020,Thanks to the inept Trump.  The green places are where Americans can currently travel.   #TrumpVirus https://t.co/iosXyb2wGC
Fri Aug 14 22:47:43 +0000 2020,"@KompozytorZ @akt7860 @seanmdav Here's something you WON'T hear at any Hipster Cafe:
""Trump is going to 🎉 WIN AGAIN !!🎉""
His victory is unstoppable !
https://t.co/H5cHTexp22"
Fri Aug 14 22:47:43 +0000 2020,@PaulaReidCBS Praying for Mr. Trump and the whole Trump family.
Fri Aug 14 22:47:43 +0000 2020,@NiallOfficial Obama was horrible and is the reason our country is in the state it’s in rn! He literally put kids from different countries in CAGES I for one don’t miss that TRUMP is the one who’s standing up for those kids and is the one who had found more jobs for colored people than Obama
Fri Aug 14 22:47:43 +0000 2020,My uncle just said: you don’t know what you’re gonna get with Biden. But you know what you’re getting with Trump so what’s another 4 years of that? LMAAOOOOOOOOO WHAAAATTTTTTTTTT?!?!?!?!?! Biden ain’t even my first choice but TRUMP???!!?!?!?!?! I’m struggling to find words tbh
Fri Aug 14 22:47:43 +0000 2020,The October surprise  Trump and AGB Barr will come out with a surprise about Carter Page that some Attorney made a  big Do Do a mistake on him  but that has nothing to do with Trump himself it was Trump and Cohen and the Russians  know about rigged election to help Trump
Fri Aug 14 22:47:43 +0000 2020,"@HKrassenstein I tell you, the really weird development about the last few months is that Trump and Cronies are corrupting our Elections in Real Time.  Surreal fits.  The Rule of Law should squelch that quickly.  Vote, no matter what !"
Fri Aug 14 22:47:43 +0000 2020,Bernie Sanders and Barack Obama Agree: Trump's Attack on Postal Service Is an Attack on 2020 Election and US Democracy - https://t.co/2mr9HKDjzI via @commondreams
Fri Aug 14 22:47:43 +0000 2020,@ABC Trump doesn’t care if an idea is true or false. He knows that just putting it out there makes an impact. (So media should stop tweeting this topic!)
Fri Aug 14 22:47:43 +0000 2020,@realDonaldTrump @FoxNews I can't wait for it and I'm in England. I'm sure Trump will win the debate and election while Biden is figuring out the door handle to get out the car and get in the studio. https://t.co/BuUenoO4sp
Fri Aug 14 22:47:43 +0000 2020,@MrsPatriot3 @AP She was born here and it makes her American. Why was this not a debate for any WHITE candidate? That is precisely why it is RACISM!  What the hell us dual loyalty? Trump’s grandmother is Scottish so is more loyal to Scotland. 🤦‍♀️🤦‍♀️
Fri Aug 14 22:47:43 +0000 2020,@LibsInAmerica Hannity need to show when Trump went sound to sleep at the 2017 NATO meeting. Yep beddy-bye in the middle of the meeting.
Fri Aug 14 22:47:43 +0000 2020,"@allfodas @JooBonifcio14 @JCLEMES @CarlaZambelli38 Fique com Ele tbm!! e siga com o MITO e Trump, OS MELHORES!! inclusive no número de infectados e vidas perdidas e seguem a mesma sua lógica q a China quer o mundo aos seus pés, tá ÇERTO! Eu fico aqui torcendo p VIDA das pessoas e por minhas filhas q são enfermeiras de CTI!!"
Fri Aug 14 22:47:42 +0000 2020,"the same ppl who said “racism is over!” when obama was elected, are the same people who think a biden administration will solve all of our problems. capitalism will still prevail if we let it. don’t stop pushing for a better society + system, just because trump is out of office."
Fri Aug 14 22:47:42 +0000 2020,@stephengrovesjr Lindsey is busy again this weekend playing golf with Trump and cleaning his balls
Fri Aug 14 22:47:42 +0000 2020,"@SheilaGibson12 @DineshDSouza What a dark, scary creature. No President, VP, or indeed congressman or senator should ever be elected with that kind of attitude. And don’t tell me Trump was - they all went after him from day one."
Fri Aug 14 22:47:42 +0000 2020,@DrCarolQuinn @tintdepot @NotATweeter16 @ddale8 Are you honestly trying to tell me Orwell would be fine with Biden/Harris but would have trouble with Trump?
Fri Aug 14 22:47:42 +0000 2020,@_Mike_Hawk__ @RapsGuy1000a @Gdad1 @RudyGiuliani Trump doesn't rank top 10 richest in the world.  Maybe check your facts first before you sound like...oh wait..Trump and his supporters. Here is your favorite..faux news. Where is his name? https://t.co/c0LZI8zojQ
